Power
t(s)	P(W)
 3.793945313e-009	0
 3.803710938e-009	0
 3.813476562e-009	0
 3.823242187e-009	0
 3.833007812e-009	0
 3.842773438e-009	0
 3.852539063e-009	0
 3.862304688e-009	0
 3.872070313e-009	0
 3.881835938e-009	0
 3.891601563e-009	0
 3.901367187e-009	0
 3.911132812e-009	0
 3.920898437e-009	0
 3.930664063e-009	0
 3.940429688e-009	0
 3.950195313e-009	0
 3.959960938e-009	0
 3.969726563e-009	0
 3.979492187e-009	0
 3.989257812e-009	0
 3.999023437e-009	0
 4.008789063e-009	0
 4.018554688e-009	0
 4.028320313e-009	0
 4.038085938e-009	0
 4.047851563e-009	0
 4.057617188e-009	0
 4.067382812e-009	0
 4.077148437e-009	0
 4.086914062e-009	0
 4.096679688e-009	0
 4.106445313e-009	0
 4.116210938e-009	0
 4.125976563e-009	0
 4.135742188e-009	0
 4.145507813e-009	0
 4.155273437e-009	0
 4.165039062e-009	0
 4.174804687e-009	0
 4.184570313e-009	0
 4.194335938e-009	0
 4.204101563e-009	0
 4.213867188e-009	0
 4.223632813e-009	0
 4.233398438e-009	0
 4.243164062e-009	0
 4.252929687e-009	0
 4.262695312e-009	0
 4.272460938e-009	0
 4.282226563e-009	0
 4.291992188e-009	0
 4.301757813e-009	0
 4.311523438e-009	0
 4.321289063e-009	0
 4.331054687e-009	0
 4.340820312e-009	0
 4.350585937e-009	0
 4.360351563e-009	0
 4.370117188e-009	0
 4.379882813e-009	0
 4.389648438e-009	0
 4.399414063e-009	0
 4.409179688e-009	0
 4.418945312e-009	0
 4.428710937e-009	0
 4.438476562e-009	0
 4.448242188e-009	0
 4.458007813e-009	0
 4.467773438e-009	0
 4.477539063e-009	0
 4.487304688e-009	0
 4.497070313e-009	0
 4.506835937e-009	0
 4.516601562e-009	0
 4.526367188e-009	0
 4.536132813e-009	0
 4.545898438e-009	0
 4.555664063e-009	0
 4.565429688e-009	0
 4.575195313e-009	0
 4.584960937e-009	0
 4.594726562e-009	0
 4.604492187e-009	0
 4.614257813e-009	0
 4.624023438e-009	0
 4.633789063e-009	0
 4.643554688e-009	0
 4.653320313e-009	0
 4.663085938e-009	0
 4.672851562e-009	0
 4.682617187e-009	0
 4.692382812e-009	0
 4.702148438e-009	0
 4.711914063e-009	0
 4.721679688e-009	2.192670584
 4.731445313e-009	27.69777107
 4.741210938e-009	159.628067
 4.750976563e-009	649.9520874
 4.760742187e-009	2173.535889
 4.770507812e-009	6389.626465
 4.780273437e-009	17092.48438
 4.790039063e-009	42394.92578
 4.799804688e-009	98560.52344
 4.809570313e-009	216213.5313
 4.819335938e-009	449610.5
 4.829101563e-009	889352.1875
